Data, Gold 
10/mar/20,1676.60
09/mar/20,1691.50
06/mar/20,1691.60
05/mar/20,1690.50
04/mar/20,1666.90
03/mar/20,1670.00
02/mar/20,1620.60
28/fev/20,1596.60
27/fev/20,1676.40
26/fev/20,1678.20
25/fev/20,1686.40
24/fev/20,1713.50
21/fev/20,1686.30
20/fev/20,1658.00
19/fev/20,1649.50
18/fev/20,1641.10
17/fev/20,1587.05
16/fev/20,1586.25
14/fev/20,1624.10
13/fev/20,1617.00
12/fev/20,1609.80
11/fev/20,1608.80
10/fev/20,1618.20
07/fev/20,1612.80
06/fev/20,1609.50
05/fev/20,1602.20
04/fev/20,1595.00
03/fev/20,1621.00
31/jan/20,1626.10
30/jan/20,1627.30
29/jan/20,1614.50
28/jan/20,1613.20
27/jan/20,1620.80
24/jan/20,1615.40
23/jan/20,1608.30
22/jan/20,1599.70
21/jan/20,1601.00
20/jan/20,1561.25
19/jan/20,1557.05
17/jan/20,1603.40
16/jan/20,1593.00
15/jan/20,1596.60
14/jan/20,1587.50
13/jan/20,1593.70
10/jan/20,1603.30
09/jan/20,1597.80
08/jan/20,1603.80
07/jan/20,1618.70
06/jan/20,1613.30
03/jan/20,1596.40
02/jan/20,1572.10
01/jan/20,1520.95
31/dez/19,1567.60
30/dez/19,1562.30
27/dez/19,1561.20
26/dez/19,1557.10
25/dez/19,1504.05
24/dez/19,1547.30
23/dez/19,1531.20
20/dez/19,1523.10
19/dez/19,1526.60
18/dez/19,1521.00
17/dez/19,1523.50
16/dez/19,1523.20
13/dez/19,1523.00
12/dez/19,1513.60
11/dez/19,1515.80
10/dez/19,1508.90
09/dez/19,1505.60
06/dez/19,1504.20
05/dez/19,1521.70
04/dez/19,1518.70
03/dez/19,1522.80
02/dez/19,1507.30
29/nov/19,1510.70
28/nov/19,1462.25
27/nov/19,1498.50
26/nov/19,1504.70
25/nov/19,1501.80
22/nov/19,1508.00
21/nov/19,1507.60
20/nov/19,1518.10
19/nov/19,1519.20
18/nov/19,1516.90
15/nov/19,1513.60
14/nov/19,1518.50
13/nov/19,1508.50
12/nov/19,1498.60
11/nov/19,1502.30
08/nov/19,1510.40
07/nov/19,1511.70
06/nov/19,1537.40
05/nov/19,1528.00
04/nov/19,1554.80
01/nov/19,1554.40
31/out/19,1556.90
30/out/19,1539.40
29/out/19,1533.50
28/out/19,1538.70
25/out/19,1547.70
24/out/19,1546.20
23/out/19,1537.10
22/out/19,1528.80
21/out/19,1529.30
18/out/19,1535.00
17/out/19,1539.80
16/out/19,1535.40
15/out/19,1525.10
14/out/19,1539.10
11/out/19,1529.80
10/out/19,1540.90
09/out/19,1552.30
08/out/19,1543.10
07/out/19,1543.70
04/out/19,1551.90
03/out/19,1552.50
02/out/19,1549.00
01/out/19,1530.20
30/set/19,1514.50
27/set/19,1548.30
26/set/19,1552.30
25/set/19,1549.30
24/set/19,1577.40
23/set/19,1568.90
20/set/19,1552.60
19/set/19,1543.20
18/set/19,1552.90
17/set/19,1550.90
16/set/19,1549.10
13/set/19,1537.30
12/set/19,1544.10
11/set/19,1538.30
10/set/19,1534.00
09/set/19,1545.50
06/set/19,1549.20
05/set/19,1558.80
04/set/19,1593.30
03/set/19,1589.10
02/set/19,1535.15
01/set/19,1538.05
30/ago/19,1563.10
29/ago/19,1569.90
28/ago/19,1581.20
27/ago/19,1584.50
26/ago/19,1569.80
23/ago/19,1570.20
22/ago/19,1541.10
21/ago/19,1548.20
20/ago/19,1548.00
19/ago/19,1544.00
16/ago/19,1556.20
15/ago/19,1563.70
14/ago/19,1561.00
13/ago/19,1547.70
12/ago/19,1550.00
09/ago/19,1541.50
08/ago/19,1542.00
07/ago/19,1551.60
06/ago/19,1516.70
